timestamp,percentageNow,timeFuture,percentageFuture
2026-01-07T14:35:38.855Z,30.44533341885762%,2026-01-07T16:25:38.855Z,40.64019254447648%
2026-01-07T14:36:01.931Z,30.51537443669789%,2026-01-07T16:26:01.931Z,40.76783557516156%
2026-01-07T14:36:02.031Z,30.89538314133068%,2026-01-07T16:26:02.031Z,41.04979694452243%
2026-01-07T14:36:02.058Z,30.89538314133068%,2026-01-07T16:26:02.058Z,41.04979694452243%
2026-01-07T14:36:02.106Z,30.538294740641586%,2026-01-07T16:26:02.106Z,40.801837285062106%
2026-01-07T14:45:38.839Z,32.130224083321735%,2026-01-07T16:35:38.839Z,41.655984851194916%
2026-01-07T14:51:03.614Z,34.71106728577274%,2026-01-07T16:41:03.614Z,42.46551728245634%
2026-01-07T14:51:03.700Z,35.81167432715377%,2026-01-07T16:41:03.700Z,42.77565832296708%
2026-01-07T14:51:03.736Z,35.81167432715377%,2026-01-07T16:41:03.736Z,42.77565832296708%
2026-01-07T14:51:03.765Z,35.0206958143597%,2026-01-07T16:41:03.765Z,42.010495829983945%
2026-01-07T14:55:38.841Z,34.751047822074476%,2026-01-07T16:45:38.841Z,41.465164972905335%
2026-01-07T15:05:38.842Z,36.41896895879374%,2026-01-07T16:55:38.842Z,42.32965358967917%
2026-01-07T15:06:05.023Z,36.38698341189506%,2026-01-07T16:56:05.023Z,42.26495130934187%
2026-01-07T15:06:05.058Z,36.26690196733959%,2026-01-07T16:56:05.058Z,42.44971697386571%
2026-01-07T15:06:05.107Z,36.65279297532923%,2026-01-07T16:56:05.107Z,42.86626738936752%
2026-01-07T15:06:05.147Z,36.3039902297333%,2026-01-07T16:56:05.147Z,42.530542605431705%
